Date,Problems,Todo
2018-03-30,[283],[]
2018-03-31,"[94, 144, 145, 314, 653, 114]",[283]
2018-04-01,[],"[653, 144, 145, 114, 314, 283, 94]"
2018-04-02,"[67, 349, 15, 215, 680, 125]","[94, 144, 145, 314, 653, 114]"
2018-04-03,[477],"[67, 680, 15, 125, 215, 283, 349]"
2018-04-04,"[311, 91, 639]","[477, 67, 680, 653, 15, 144, 145, 114, 215, 314, 349, 125, 94]"
2018-04-05,"[65, 209]","[311, 283, 91, 477, 639]"
2018-04-06,[325],"[65, 67, 215, 680, 653, 15, 144, 145, 114, 209, 311, 314, 91, 349, 125, 94, 639]"
2018-04-07,[],"[477, 65, 209, 325]"
2018-04-08,[],"[67, 325, 680, 15, 311, 215, 91, 349, 125, 639]"
2018-04-09,[],"[65, 209, 477]"
2018-04-10,[],"[325, 283, 311, 91, 639]"
2018-04-11,[],"[65, 653, 144, 145, 114, 209, 314, 94]"
2018-04-12,[],[325]
2018-04-13,[],"[67, 349, 15, 215, 680, 125]"
2018-04-14,[],[477]
2018-04-15,[],"[311, 91, 639]"
2018-04-16,[],"[65, 209]"
2018-04-17,[],[325]
2018-04-18,[],[283]
2018-04-19,[],"[94, 144, 145, 314, 653, 114]"
2018-04-21,[],"[67, 349, 15, 215, 680, 125]"
2018-04-22,[],[477]
2018-04-23,[],"[311, 91, 639]"
2018-04-24,[],"[65, 209]"
2018-04-25,[],[325]
2018-05-04,[],[283]
2018-05-05,[],"[94, 144, 145, 314, 653, 114]"
2018-05-07,[],"[67, 349, 15, 215, 680, 125]"
2018-05-08,[],[477]
2018-05-09,[],"[311, 91, 639]"
2018-05-10,[],"[65, 209]"
2018-05-11,[],[325]
2018-05-31,[],[283]
2018-06-01,[],"[94, 144, 145, 314, 653, 114]"
2018-06-03,[],"[67, 349, 15, 215, 680, 125]"
2018-06-04,[],[477]
2018-06-05,[],"[311, 91, 639]"
2018-06-06,[],"[65, 209]"
2018-06-07,[],[325]
2018-07-19,[],[283]
2018-07-20,[],"[94, 144, 145, 314, 653, 114]"
2018-07-22,[],"[67, 349, 15, 215, 680, 125]"
2018-07-23,[],[477]
2018-07-24,[],"[311, 91, 639]"
2018-07-25,[],"[65, 209]"
2018-07-26,[],[325]
2018-10-15,[],[283]
2018-10-16,[],"[94, 144, 145, 314, 653, 114]"
2018-10-18,[],"[67, 349, 15, 215, 680, 125]"
2018-10-19,[],[477]
2018-10-20,[],"[311, 91, 639]"
2018-10-21,[],"[65, 209]"
2018-10-22,[],[325]
